run number,density,similar-wanted,step,percent-similar
3,40,20,6,63.16928069226609
4,40,20,5,64.31116389548693
2,40,20,4,59.84555984555985
5,40,20,7,62.19239373601789
6,40,20,7,63.20960698689956
7,40,20,8,61.27755794234031
8,40,20,5,59.55532027527792
9,40,22,8,65.6842105263158
10,40,22,6,66.91011235955057
11,40,22,7,69.67577876668786
13,40,22,7,67.24028043339707
12,40,22,7,67.2591743119266
14,40,22,8,69.04218928164197
15,40,22,7,66.32768361581921
16,40,22,7,66.12359550561798
19,40,24,7,68.14768460575719
17,40,24,7,67.71025168815224
18,40,24,8,67.93321819228555
21,40,24,6,69.03870162297129
20,40,24,6,68.45407872219053
22,40,24,8,66.66666666666666
23,40,24,9,65.20250998288648
24,40,24,6,68.45203060623896
25,40,26,11,75.09859154929578
26,40,26,11,73.27731092436974
28,40,26,8,76.00936220011702
27,40,26,15,76.42896026129559
29,40,26,9,76.75339366515837
30,40,26,9,73.40485601355167
32,40,26,7,75.84994138335287
1,40,20,5,60.09798584648885
33,40,28,9,75.47065337763013
31,40,26,9,75.9415401911186
34,40,28,9,79.11504424778761
37,40,28,9,77.14285714285715
38,40,28,10,75.23255813953489
36,40,28,10,75.26462395543176
39,40,28,7,76.43644805571678
40,40,28,10,75.79143389199255
43,40,30,9,76.35175282234106
41,40,30,15,76.57075748678803
44,40,30,7,76.89713322091062
42,40,30,14,77.18475073313783
45,40,30,7,77.25714285714285
46,40,30,9,74.70404984423676
48,40,30,10,78.07807807807808
47,40,30,8,76.24113475177306
49,40,32,7,76.11111111111111
50,40,32,9,76.43097643097643
51,40,32,10,77.35191637630662
52,40,32,10,78.45697329376856
53,40,32,11,78.50299401197604
54,40,32,9,75.63805104408353
55,40,32,8,75.82298974635727
56,40,32,11,76.24177139437462
58,40,34,14,86.0056657223796
57,40,34,10,86.37951105937137
59,40,34,15,87.13375796178345
60,40,34,12,87.59598346131128
61,40,34,14,84.47852760736197
62,40,34,15,86.54399079930994
63,40,34,11,87.3015873015873
64,40,34,13,88.25865002836075
65,40,36,10,86.47818070067609
66,40,36,15,85.31506849315068
67,40,36,10,85.80246913580247
68,40,36,12,85.16513264753655
69,40,36,10,87.8440366972477
70,40,36,10,85.25784753363229
71,40,36,11,86.0724233983287
74,40,38,10,87.84562211981567
72,40,36,14,86.49409116488464
73,40,38,13,87.19912472647702
75,40,38,11,86.04395604395604
77,40,38,10,88.82318154937907
